the_geom,OBJECTID,ADDRESS,LOCATION,STREET,PLACEMENT,RACKS,SPACES,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID,INSTALL_YR,INSTALL_MO,LAT,LON
POINT (-122.416459008134 37.750870948624),622,1398 SOUTH VAN NESS AVE,Phone Booth Bar,S VAN NESS,SIDEWALK,3,6,,,MTA,10/21/2017 12:21:21 AM +0000,{89C713D5-02E2-4C11-BDF2-1BCCEF722EF2},2012,10,37.750866,-122.416446
POINT (-122.39809750791 37.789924547642),877,78 01ST ST,Solmentum,01ST,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:47 AM +0000,{96F40EC1-6D95-41B4-8B36-35035BDCAC0B},2015,1,37.78992,-122.398084
POINT (-122.393236008082 37.782423948212),605,2 SOUTH PARK,Jeremy's Department Store,SOUTH PARK AVE,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:21 AM +0000,{87CF2399-2A95-4886-AA36-D65E5A18EA3E},2012,4,37.782419,-122.393223
POINT (-122.433790009477 37.751188947998),1636,4089 24TH ST,Gallery of Jewels,24TH,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:53 AM +0000,{04000E17-366A-4842-B144-3967BD90FBDB},2004,0,37.751184,-122.433777
POINT (-122.46696000766 37.761892947753),845,445 JUDAH ST,Gym 445,JUDAH,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:38 AM +0000,{67828EAF-88C6-4E28-B660-D9F7D2BDE8CA},2010,10,37.761888,-122.466947
POINT (-122.401418218556 37.794869370766),3589,500 SANSOME,500 Sansome,SANSOME,SIDEWALK,2,4,JMOLINA,07/24/2017 05:02:28 PM +0000,MTA,10/21/2017 12:21:37 AM +0000,{9C1828DF-BCD8-4CCD-AD42-F0DB06E465F2},2016,11,37.794864,-122.401405
POINT (-122.464284308164 37.777077227487),2889,515 BALBOA ST,SF Hardware,BALBOA,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:25 AM +0000,{F9DE2100-6E5D-44BE-8F03-F27EE3A67157},2010,0,37.777072,-122.464271
POINT (-122.415970009064 37.713579948035),2492,1700 VISITACION AVE,Coffman Pool,VISITACION,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:24 AM +0000,{3051DFCF-CDED-4D74-B6DF-2BDE23DF2A3F},2012,7,37.713575,-122.415957
POINT (-122.421999009133 37.791005947793),2276,1640 VAN NESS AVE,UNKNOWN,VAN NESS,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:51 AM +0000,{D0BED96B-0CC1-42D0-BDD7-263A51DB8C3E},2003,0,37.791001,-122.421986
POINT (-122.508258008153 37.76056894778),2595,4300 JUDAH ST,Beachside Cafe,JUDAH,SIDEWALK,2,4,,,MTA,10/21/2017 12:21:34 AM +0000,{7FDC8410-55E5-41D9-BCE9-9BE21CCED1BA},2012,8,37.760564,-122.508245
